antenna,frequency,power,modulation,par,bandwidth,distance,angle,x,y,sar10g,u10g
C2450B,2450,18,M10,10.26,1.4,7,270,15,-26,0.177,0.25
C2450B,2450,18,M10,10.26,1.4,7,285,10,-2,0.173,0.25
C2450B,2450,18,M22,8.91,40.0,7,255,-35,-77,0.175,0.25
C2450B,2450,19,M10,10.26,1.4,7,30,13,-8,0.215,0.25
C2450B,2450,23,M5,7.89,0.4,7,0,-30,54,0.536,0.25
C2450B,2450,24,M10,10.26,1.4,7,90,28,20,0.628,0.25
C2450B,2450,24,M23,8.9,80.0,7,345,-16,-36,0.654,0.25
C2450B,2450,28,M23,8.9,80.0,7,45,25,-54,1.691,0.25
C2450B,2450,30,M23,8.9,80.0,7,210,16,-21,2.725,0.25
C2450B,2450,31,M6,7.93,0.4,7,15,-28,-6,3.323,0.25
C2450B,2450,31,M6,7.93,0.4,7,270,15,28,3.568,0.25
C2450B,2450,31,M5,7.89,0.4,7,330,-23,76,3.084,0.25
C2450B,2450,32,M10,10.26,1.4,7,165,-21,5,4.312,0.25
